Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,207.149994,208.350006,203.550003,207.149994,207.149994,7804475
2021-12-03,207.399994,210.500000,205.350006,206.500000,206.500000,9921814
2021-12-06,206.850006,209.550003,201.949997,202.550003,202.550003,10904532
2021-12-07,204.800003,210.699997,204.300003,209.149994,209.149994,8950677
2021-12-08,210.800003,215.199997,208.449997,214.699997,214.699997,13075468
2021-12-09,215.100006,217.000000,211.800003,215.000000,215.000000,8750534
2021-12-10,214.699997,223.000000,212.600006,222.149994,222.149994,12169270
2021-12-13,223.899994,224.000000,216.649994,217.199997,217.199997,7861327
2021-12-14,216.850006,217.300003,212.149994,215.600006,215.600006,8291075
2021-12-15,215.699997,217.399994,210.699997,211.250000,211.250000,5799757
2021-12-16,213.000000,214.899994,209.750000,212.199997,212.199997,5365219
2021-12-17,211.399994,211.399994,201.100006,202.100006,202.100006,9513709
2021-12-20,199.000000,200.000000,188.100006,190.850006,190.850006,11148548
2021-12-21,193.850006,195.850006,190.399994,192.199997,192.199997,7310594
2021-12-22,194.399994,202.350006,194.250000,197.699997,197.699997,12343053
2021-12-23,199.399994,203.800003,197.899994,200.500000,200.500000,9264197
2021-12-24,201.699997,201.899994,193.000000,193.949997,193.949997,10186277
2021-12-27,190.000000,196.500000,186.399994,195.600006,195.600006,10053249
2021-12-28,197.100006,198.449997,195.649994,197.850006,197.850006,5387946
2021-12-29,197.050003,199.449997,195.699997,196.699997,196.699997,5737095
2021-12-30,196.000000,196.399994,193.500000,195.000000,195.000000,6021677
2021-12-31,196.050003,201.350006,195.850006,199.949997,199.949997,7201753
2022-01-03,199.699997,206.399994,198.600006,205.449997,205.449997,7790751
2022-01-04,206.449997,209.000000,204.350006,206.550003,206.550003,9340933
2022-01-05,206.500000,212.050003,205.149994,211.000000,211.000000,11554362
2022-01-06,208.949997,213.750000,207.449997,212.500000,212.500000,10730879
2022-01-07,213.250000,215.600006,209.699997,212.300003,212.300003,8675299
2022-01-10,213.300003,220.800003,213.300003,219.699997,219.699997,10305642
2022-01-11,217.250000,223.250000,217.250000,221.399994,221.399994,11506031
2022-01-12,222.800003,226.149994,221.500000,222.750000,222.750000,8084558
2022-01-13,222.600006,227.149994,220.699997,225.350006,225.350006,8399690
2022-01-14,224.899994,228.350006,223.500000,227.649994,227.649994,8073327
2022-01-17,227.600006,230.350006,227.100006,227.699997,227.699997,4905876
2022-01-18,228.399994,230.000000,221.699997,223.100006,223.100006,7247346
2022-01-19,222.300003,229.899994,220.850006,228.399994,228.399994,7422599
2022-01-20,229.199997,232.399994,226.800003,228.449997,228.449997,9890494
2022-01-21,224.899994,226.699997,213.300003,215.600006,215.600006,10638551
2022-01-24,215.600006,217.600006,204.649994,208.699997,208.699997,10454987
2022-01-25,206.500000,223.250000,205.449997,221.399994,221.399994,12089545
2022-01-27,218.000000,242.250000,216.000000,240.800003,240.800003,46941087
2022-01-28,242.250000,243.899994,236.550003,238.899994,238.899994,21796914
2022-01-31,241.399994,254.399994,241.000000,252.949997,252.949997,29420484
2022-02-01,254.850006,261.600006,245.000000,258.750000,258.750000,34673381
2022-02-02,259.700012,272.000000,257.750000,269.649994,269.649994,27204313
2022-02-03,268.700012,272.799988,264.100006,264.899994,264.899994,16775296
2022-02-04,265.450012,268.799988,259.200012,261.000000,261.000000,11744286
2022-02-07,261.500000,266.649994,256.850006,258.100006,258.100006,15923437
2022-02-08,258.500000,263.450012,251.800003,260.700012,260.700012,15401072
2022-02-09,261.799988,263.100006,255.250000,260.250000,260.250000,9234499
2022-02-10,260.549988,262.899994,256.799988,258.799988,258.799988,8841159
2022-02-11,257.100006,261.049988,250.199997,251.500000,251.500000,8807436
2022-02-14,243.000000,248.500000,233.100006,234.750000,234.750000,13572284
2022-02-15,235.199997,248.800003,232.199997,247.949997,247.949997,16312508
2022-02-16,248.850006,250.850006,243.000000,244.300003,244.300003,12589227
2022-02-17,245.300003,246.500000,238.750000,239.399994,239.399994,7285051
2022-02-18,238.550003,244.199997,237.149994,238.250000,238.250000,9431843
2022-02-21,237.550003,240.399994,232.149994,232.949997,232.949997,13817283
2022-02-22,221.000000,231.899994,221.000000,230.449997,230.449997,15256952
2022-02-23,232.000000,235.250000,228.199997,229.149994,229.149994,8640472
2022-02-24,206.250000,224.000000,206.250000,208.300003,208.300003,20798209
2022-02-25,216.000000,222.800003,214.000000,218.449997,218.449997,16298297
2022-02-28,216.500000,220.699997,214.350006,219.600006,219.600006,12254727
2022-03-02,217.850006,218.899994,212.199997,216.149994,216.149994,10972135
2022-03-03,219.600006,220.600006,213.750000,214.949997,214.949997,9310428
2022-03-04,213.750000,217.500000,209.300003,210.149994,210.149994,14829510
2022-03-07,205.500000,205.649994,196.399994,200.850006,200.850006,15576434
2022-03-08,201.000000,210.699997,199.500000,209.350006,209.350006,20233877
2022-03-09,211.500000,213.350006,208.500000,212.000000,212.000000,14003051
2022-03-10,219.500000,221.949997,213.050003,214.399994,214.399994,17278570
2022-03-11,214.000000,219.399994,212.500000,217.949997,217.949997,10960139
2022-03-11,214.000000,219.399994,212.500000,217.949997,217.949997,10953726
